country,continent,flag,map,alias/0,alias/1,alias/2
Niger,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Niger.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Niger.png,,,
Nigeria,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Nigeria.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Nigeria.png,,,
North Korea,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/North%20Korea.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/North%20Korea.png,DRPK,,
North Macedonia,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/North%20Macedonia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/North%20Macedonia.png,Macedonia,,
Norway,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Norway.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Norway.png,,,
Oman,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Oman.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Oman.png,,,
Pakistan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Pakistan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Pakistan.png,,,
Palau,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Palau.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Palau.png,,,
Palestine,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Palestine.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Palestine.png,,,
Panama,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Panama.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Panama.png,,,
Papua New Guinea,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Papua%20New%20Guinea.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Papua%20New%20Guinea.png,,,
Paraguay,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Paraguay.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Paraguay.png,,,
Peru,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Peru.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Peru.png,,,
Philippines,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Philippines.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Philippines.png,,,
Poland,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Poland.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Poland.png,,,
